Timestamp,CPU_Usage_Percent,Memory_Usage_MB,Memory_Usage_Percent,Load_Avg_1m,Load_Avg_5m,Load_Avg_15m,Node_Process_CPU_Percent,Node_Process_Memory_MB
2025-03-06 23:37:04,19.67,15G,,3.98,4.25,4.44,0.0,0.0
2025-03-06 23:37:06,34.44,15G,,3.98,4.25,4.44,0.0,0.0
2025-03-06 23:37:08,18.56,15G,,3.98,4.25,4.44,0.0,0.0
2025-03-06 23:37:09,30.91,15G,,3.74,4.20,4.42,0.0,0.0
2025-03-06 23:37:12,20.6,15G,,3.74,4.20,4.42,0.0,0.0
2025-03-06 23:37:13,15.35,15G,,3.92,4.23,4.42,0.0,0.0
2025-03-06 23:37:15,17.97,15G,,3.92,4.23,4.42,0.0,0.0
2025-03-06 23:37:17,28.32,15G,,3.92,4.23,4.42,0.0,0.0
2025-03-06 23:37:19,20.18,15G,,4.49,4.34,4.46,0.0,0.0
2025-03-06 23:37:21,31.53,15G,,4.49,4.34,4.46,0.0,0.0
2025-03-06 23:37:23,24.47,15G,,4.29,4.30,4.45,0.0,0.0
2025-03-06 23:37:25,18.91,15G,,4.29,4.30,4.45,0.0,0.0
2025-03-06 23:37:27,24.84,15G,,4.29,4.30,4.45,0.0,0.0
2025-03-06 23:37:29,22.46,15G,,4.10,4.26,4.43,0.0,0.0
2025-03-06 23:37:31,24.77,15G,,4.10,4.26,4.43,0.0,0.0
2025-03-06 23:37:33,20.24,15G,,4.10,4.26,4.43,0.0,0.0
2025-03-06 23:37:35,19.67,15G,,3.85,4.21,4.41,0.0,0.0
2025-03-06 23:37:37,20.5,15G,,3.85,4.21,4.41,0.0,0.0
2025-03-06 23:37:39,22.60,15G,,3.87,4.20,4.41,0.0,0.0
2025-03-06 23:37:41,19.93,15G,,3.87,4.20,4.41,0.0,0.0
2025-03-06 23:37:43,34.24,15G,,3.87,4.20,4.41,0.0,0.0
2025-03-06 23:37:45,17.44,15G,,3.72,4.17,4.40,0.0,0.0
2025-03-06 23:37:47,16.25,15G,,3.72,4.17,4.40,0.0,0.0
2025-03-06 23:37:49,26.72,15G,,3.74,4.16,4.39,0.0,0.0
2025-03-06 23:37:51,21.34,15G,,3.74,4.16,4.39,0.0,0.0
2025-03-06 23:37:53,22.80,15G,,3.74,4.16,4.39,0.0,0.0
2025-03-06 23:37:55,35.37,15G,,3.76,4.16,4.39,0.0,0.0
2025-03-06 23:37:57,31.74,15G,,3.76,4.16,4.39,0.0,0.0
2025-03-06 23:37:59,26.17,15G,,3.78,4.16,4.39,0.0,0.0
2025-03-06 23:38:01,16.71,15G,,3.78,4.16,4.39,0.0,0.0
2025-03-06 23:38:03,18.43,15G,,3.78,4.16,4.39,0.0,0.0
